date,symbol,open,high,low,close,volume,change,changePercent,vwap,changeOverTime,label,unadjustedVolume,adjClose
2021-01-05,META,268.29,272.4,268.21,270.97,9871600,2.68,0.99892,269.9675,0.0,2021-01-05,9871600,270.97
2021-01-06,META,262.0,267.75,260.01,263.31,24354149,1.31,0.5,263.2675,-0.028268812045614045,2021-01-06,24354149,263.31
2021-01-07,META,265.9,271.61,264.78,268.74,15789800,2.84,1.07,267.7575,-0.008229693323984266,2021-01-07,15789800,268.74
2021-01-08,META,268.31,268.95,263.18,267.57,18528300,-0.74,-0.2758,267.0025,-0.012547514484998468,2021-01-08,18528300,267.57
2021-01-11,META,260.48,263.47,255.9,256.84,30412300,-3.64,-1.4,259.1725,-0.05214599402147857,2021-01-11,30412300,256.84
2021-01-12,META,256.63,259.72,250.3,251.09,26449943,-5.54,-2.16,254.435,-0.07336605528287277,2021-01-12,26449943,251.09
2021-01-13,META,251.55,253.95,249.2,251.64,19528938,0.09,0.03577818,251.585,-0.07133631029265242,2021-01-13,19528938,251.64
2021-01-14,META,253.4,255.03,244.61,245.64,29739404,-7.76,-3.06,249.67,-0.09347898291323775,2021-01-14,29739404,245.64
2021-01-15,META,247.9,253.86,247.16,251.36,24942930,3.46,1.4,250.07,-0.07236963501494631,2021-01-15,24942930,251.36
2021-01-19,META,256.9,262.2,252.72,261.1,28028546,4.2,1.63,258.23,-0.03642469646086288,2021-01-19,28028546,261.1
2021-01-20,META,268.93,270.32,263.6,267.48,25199919,-1.45,-0.53917,267.5825,-0.012879654574307176,2021-01-20,25199919,267.48
2021-01-21,META,269.26,273.6,267.49,272.87,20838700,3.61,1.34,270.805,0.007011846329851856,2021-01-21,20838700,272.87
2021-01-22,META,272.01,278.47,272.0,274.5,21954042,2.49,0.91541,274.245,0.013027272391777478,2021-01-22,21954042,274.5
2021-01-25,META,278.14,280.1,271.51,278.01,19087000,-0.13,-0.04673905,276.94,0.02598073587481986,2021-01-25,19087000,278.01
2021-01-26,META,278.14,285.39,277.81,282.05,19373636,3.91,1.41,280.8475,0.040890135439347386,2021-01-26,19373636,282.05
2021-01-27,META,282.53,283.45,268.12,272.14,35346200,-10.39,-3.68,276.56,0.004317821161013979,2021-01-27,35346200,272.14
2021-01-28,META,277.18,286.79,264.7,265.0,37758844,-12.18,-4.39,273.4175,-0.02203195925748247,2021-01-28,37758844,265.0
2021-01-29,META,265.3,266.56,254.85,258.33,30389500,-6.97,-2.63,261.26,-0.04664723032069984,2021-01-29,30389500,258.33
2021-02-01,META,259.52,264.17,254.91,262.01,22914300,2.49,0.95946,260.1525,-0.03306639111340748,2021-02-01,22914300,262.01
2021-02-02,META,264.0,268.85,263.27,267.08,17320800,3.08,1.17,265.8,-0.014355832749012976,2021-02-02,17320800,267.08
2021-02-03,META,265.62,269.2,263.84,266.65,14223400,1.03,0.38777,266.3275,-0.01594272428682164,2021-02-03,14223400,266.65
2021-02-04,META,267.01,268.16,264.0,266.49,16060000,-0.52,-0.19475,266.415,-0.01653319555670374,2021-02-04,16060000,266.49
2021-02-05,META,266.8,269.17,265.67,268.1,12454400,1.3,0.48726,267.435,-0.010591578403513324,2021-02-05,12454400,268.1
2021-02-08,META,268.75,269.86,265.0,266.58,13755200,-2.17,-0.80744,267.5475,-0.01620105546739503,2021-02-08,13755200,266.58
2021-02-09,META,266.44,273.39,265.75,269.45,14613400,3.01,1.13,268.7575,-0.005609477063881707,2021-02-09,14613400,269.45
2021-02-10,META,272.45,273.8,267.72,271.87,14687200,-0.5765,-0.21288,271.46,0.0033214008930877448,2021-02-10,14687200,271.87
2021-02-11,META,271.89,273.58,268.49,270.39,12828600,-1.5,-0.55169,271.0875,-0.002140458353323438,2021-02-11,12828600,270.39
2021-02-12,META,270.52,271.18,268.34,270.5,9097600,-0.02,-0.00739317,270.135,-0.0017345093552793012,2021-02-12,9097600,270.5
2021-02-16,META,270.8,276.6,270.05,273.97,15417243,3.17,1.17,272.855,0.011071336310292557,2021-02-16,15417243,273.97
2021-02-17,META,271.24,273.97,269.58,273.57,12763240,2.33,0.85902,272.09,0.009595158135586868,2021-02-17,12763240,273.57
2021-02-18,META,269.57,271.95,266.03,269.39,15249134,-0.175,-0.06677301,269.235,-0.00583090379008766,2021-02-18,15249134,269.39
2021-02-19,META,269.86,270.27,260.15,261.56,25622600,-8.3,-3.08,265.46,-0.03472709155995135,2021-02-19,25622600,261.56
2021-02-22,META,257.95,263.07,257.53,260.33,17434900,2.38,0.92266,259.72,-0.039266339447171394,2021-02-22,17434900,260.33
2021-02-23,META,259.5,267.46,254.96,265.86,21924600,6.36,2.45,261.945,-0.01885817618186525,2021-02-23,21924600,265.86
